,Unnamed: 0,CASE_STATUS,JOB_TITLE,SOC_TITLE,PREVAILING_WAGE,PW_UNIT_OF_PAY,BEGIN_DATE,END_DATE,NEW_EMPLOYMENT,CONTINUED_EMPLOYMENT,CHANGE_PREVIOUS_EMPLOYMENT,NEW_CONCURRENT_EMPLOYMENT,CHANGE_EMPLOYER,EMPLOYER_NAME,PW_WAGE_LEVEL,EMPLOYER_CITY,EMPLOYER_STATE,WORKSITE_WORKERS,WORKSITE_CITY,WORKSITE_COUNTY,WORKSITE_STATE,WORKSITE_POSTAL_CODE
97033,97033,Certified,Elementary Teacher,"Elementary School Teachers, Except Special Education","$61,860.00 ",Year,10/15/2024,10/14/2027,1,0,0,0,0,Bering Strait School District,I,Unalakleet,AK,1,Gambell,NOME,AK,99742
97054,97054,Certified,Pathologist,"Physicians, Pathologists","$73,944.00 ",Year,11/25/2024,11/24/2027,1,0,0,0,0,"United Hospital Center, Inc.",I,Bridgeport,WV,1,Bridgeport,HARRISON,WV,26330
97081,97081,Certified,Software Engineer,Software Developers,"$68,536.00 ",Year,10/1/2024,9/30/2027,0,0,0,0,1,Primitive Partners LLC,II,Miami,FL,1,PIERRE,HUGHES,SD,57501
97087,97087,Certified,Middle School Teacher,"Middle School Teachers, Except Special and Career/Technical Education","$59,890.00 ",Year,10/15/2024,10/14/2027,1,0,0,0,0,Bering Strait School District,I,Unalakleet,AK,1,St. Michael,NOME,AK,99659
97105,97105,Certified,Middle/High School Teacher,"Secondary School Teachers, Except Special and Career/Technical Education","$60,490.00 ",Year,10/15/2024,10/14/2027,1,0,0,0,0,Bering Strait School District,I,Unalakleet,AK,1,Little Diomede,NOME,AK,99762
97363,97363,Certified,Aircraft Mechanic,Aircraft Mechanics and Service Technicians,$22.37 ,Hour,3/2/2025,3/1/2027,10,0,0,0,0,"GAL Aerostaff US, Inc.",II,Lawrenceville,GA,10,Bridgeport,HARRISON,WV,26330
97440,97440,Certified,"Project Manager, Casting Future State",Architectural and Engineering Managers,"$134,118.00 ",Year,11/1/2024,10/31/2027,1,0,0,0,0,"Constellium Rolled Products Ravenswood, LLC",II,Ravenswood,WV,1,Ravenswood,JACKSON,WV,26164
97633,97633,Certified,"Project Manager, Casting Future State",Materials Engineers,"$103,314.00 ",Year,11/1/2024,10/31/2027,1,0,0,0,0,"Constellium Rolled Products Ravenswood, LLC",IV,Ravenswood,WV,1,Ravenswood,JACKSON,WV,26164
97763,97763,Certified,Kindergarten Teacher,"Kindergarten Teachers, Except Special Education","$38,083.00 ",Year,10/21/2024,10/20/2027,1,0,0,0,0,Kodiak Island Borough School District,III,Kodiak,AK,1,Kodiak,KODIAK ISLAND,AK,99615
98056,98056,Certified,Middle/High School Teacher,"Middle School Teachers, Except Special and Career/Technical Education","$59,890.00 ",Year,10/15/2024,10/14/2027,1,0,0,0,0,Bering Strait School District,I,Unalakleet,AK,1,Little Diomede,NOME,AK,99762
98140,98140,Certified - Withdrawn,Postdoctoral Research Associate,Physicists,"$78,725.00 ",Year,4/18/2024,4/16/2025,1,0,0,0,0,"TRIAD NATIONAL SECURITY, LLC",,Los Alamos,NM,1,Los Alamos ,LOS ALAMOS,NM,87545
98215,98215,Withdrawn,Plant Manager,Industrial Production Managers,"$143,582.00 ",Year,11/4/2024,11/3/2027,0,0,0,0,0,"Saint-Gobain Ceramics & Plastics, Inc.",IV,Worcester,MA,1,Buckhannon,UPSHUR,WV,26201
98429,98429,Certified,Elementary Teacher,"Elementary School Teachers, Except Special Education","$61,860.00 ",Year,10/15/2024,10/14/2027,1,0,0,0,0,Bering Strait School District,I,Unalakleet,AK,1,Mission,NOME,AK,99785
98431,98431,Certified,Associate Veterinarian,Veterinarians,"$82,992.00 ",Year,10/7/2024,10/6/2026,1,0,0,0,0,"NVA Services, Inc.",I,Westlake Village,CA,1,Anchorage,ANCHORAGE,AK,99507
98479,98479,Certified,Project Manager,Industrial Engineers,"$99,029.00 ",Year,10/7/2024,10/6/2027,0,0,0,0,0,Logoplaste USA Inc. ,III,Plainfield,IL,1,Inwood,BERKELEY,WV,25428
98538,98538,Certified,Environmental Coordinator,Conservation Scientists,"$52,603.00 ",Year,10/1/2024,9/30/2027,1,0,0,0,0,ZPA LLC,I,Seward,AK,1,Seward,KENAI PENINSULA,AK,99664
98610,98610,Certified,Elementary Teacher,"Elementary School Teachers, Except Special Education","$61,860.00 ",Year,10/15/2024,10/14/2027,1,0,0,0,0,Bering Strait School District,I,Unalakleet,AK,1,Deering,NOME,AK,99736
98699,98699,Certified,Elementary Teacher (Grades 2-3),"Elementary School Teachers, Except Special Education","$61,860.00 ",Year,10/15/2024,10/14/2027,1,0,0,0,0,Bering Strait School District,I,Unalakleet,AK,1,Teller,NOME,AK,99778
98760,98760,Certified,"Supervisor, Human Resources Technology",Computer Programmers,$44.64 ,Hour,2/14/2025,2/13/2028,0,1,0,0,0,Sanford,III,Fargo,ND,1,Sioux Falls,MINNEHAHA,SD,57104
99383,99383,Certified,English Language Arts Teacher,"Secondary School Teachers, Except Special and Career/Technical Education","$60,490.00 ",Year,10/15/2024,10/14/2027,1,0,0,0,0,Bering Strait School District,I,Unalakleet,AK,1,Teller,NOME,AK,99778
99519,99519,Certified,Staff Actuary,Actuaries,$28.29 ,Hour,10/1/2024,4/14/2027,0,0,0,0,0,Sanford Health Plan,I,Sioux Falls,SD,1,Sioux Falls,MINNEHAHA,SD,57106
99758,99758,Certified,Elementary Teacher (Grades 3-5),"Elementary School Teachers, Except Special Education","$61,860.00 ",Year,10/15/2024,10/29/2024,1,0,0,0,0,Bering Strait School District,I,Unalakleet,AK,1,Wales,NOME,AK,99783
100062,100062,Certified,VMWare Systems Engineer I,Computer Systems Engineers/Architects,"$74,194.00 ",Year,10/14/2024,10/13/2027,0,0,0,0,1,"Dish Wireless, L.L.C.",II,Englewood,CO,1,Cheyenne,LARAMIE,WY,82007
100949,100949,Certified,Sr. IT Solutions Architect,Computer Systems Engineers/Architects,"$159,411.00 ",Year,10/28/2024,10/27/2027,0,0,0,0,1,Valley Health System,IV,Winchester,VA,1,Morgantown,MONONGALIA,WV,26505
102012,102012,Certified,Software DevOps & Elastic Search Engineer,Software Developers,"$90,563.00 ",Year,10/1/2024,9/30/2027,0,1,0,0,0,NAVS TECHNOLOGIES LLC,I,Sheridan,WY,1,Sheridan,SHERIDAN,WY,82801
102281,102281,Certified,Assistant Professor (Hospitalist),"Health Specialties Teachers, Postsecondary",$25.81 ,Hour,11/16/2024,11/15/2027,0,0,0,1,0,West Virginia University,I,Morgantown,WV,1,Morgantown,MONONGALIA,WV,26506
102378,102378,Certified,Special Education Teacher,"Special Education Teachers, Elementary School","$62,483.00 ",Year,10/1/2024,9/30/2027,1,0,0,0,0,Belen Consolidated Schools,II,Belen,NM,1,Rio Communities,VALENCIA,NM,87002
102409,102409,Certified,"SPECIAL EDUCATION TEACHER, ELEMENTARY SCHOOL","Special Education Teachers, Elementary School","$50,953.00 ",Year,11/1/2024,10/20/2027,1,0,0,0,0,ROCK CREEK GRANT SCHOOL,III,Bullhead,SD,1,BULLHEAD,CORSON,SD,57621
102502,102502,Certified,Secondary School Teacher,"Secondary School Teachers, Except Special and Career/Technical Education","$72,710.00 ",Year,11/1/2024,10/31/2027,1,0,0,0,0,Mission Achievement and Success Charter School,IV,Albuquerque,NM,1,Albuquerque,BERNALILLO,NM,87106
102556,102556,Certified,Staff Accountant 1,Accountants and Auditors,$28.66 ,Hour,1/2/2025,1/1/2028,1,0,0,0,0,"Elgee Rehfeld, LLC",I,Juneau,AK,1,Juneau,JUNEAU,AK,99801
102909,102909,Certified,Elementary School Teacher,"Elementary School Teachers, Except Special Education","$64,837.00 ",Year,10/1/2024,9/30/2027,1,0,0,0,0,Belen Consolidated Schools,III,Belen,NM,1,Veguita,SOCORRO,NM,87062
102924,102924,Certified,Middle School Teacher,"Middle School Teachers, Except Special and Career/Technical Education","$45,420.00 ",Year,12/13/2024,12/12/2027,0,1,0,0,0,Sicangu Oyate Ho Inc.,I,Saint Francis,SD,1,Saint Francis,TODD,SD,57572
103149,103149,Certified,Systems Analyst,Computer Systems Analysts,"$85,051.00 ",Year,10/3/2024,10/2/2027,0,0,0,0,0,"COMPUNNEL SOFTWARE GROUP, INC",II,Plainsboro,NJ,1,Sioux Falls,LINCOLN,SD,57108
103364,103364,Certified,Research Analyst,Market Research Analysts and Marketing Specialists,$22.11 ,Hour,3/22/2025,3/21/2028,0,1,0,0,0,The University of New Mexico Foundation Inc.,I,Albuquerque,NM,1,Albuquerque,BERNALILLO,NM,87110
103604,103604,Certified - Withdrawn,Post Doctoral Fellow,Chemical Engineers,$30.78 ,Hour,9/15/2022,9/14/2025,1,0,0,0,0,University of Alaska ,II,Fairbanks,AK,1,Fairbanks,FAIRBANKS NORTH STAR,AK,99775
103697,103697,Certified,Classroom Teacher – Mathematics 05-AD,"Secondary School Teachers, Except Special and Career/Technical Education","$55,180.00 ",Year,10/3/2024,10/2/2027,1,0,0,0,0,West Virginia Schools for the Deaf and the Blind,I,Romney,WV,1,Romney,HAMPSHIRE,WV,26757
103924,103924,Certified - Withdrawn,Postdoctoral Research Associate,"Geoscientists, Except Hydrologists and Geographers","$44,138.00 ",Year,11/4/2024,3/14/2025,1,0,0,0,0,"Triad National Security, LLC",I,Los Alamos,NM,1,Los Alamos,LOS ALAMOS,NM,87545
104025,104025,Certified,Manager JC50 - Information Technology Project Managers,Information Technology Project Managers,"$102,918.00 ",Year,2/24/2025,2/23/2028,0,1,0,0,0,COGNIZANT TECHNOLOGY SOLUTIONS US CORP,III,College Station,TX,1,Albuquerque,BERNALILLO,NM,87113
104120,104120,Certified - Withdrawn,Pathologist,"Physicians, Pathologists","$73,944.00 ",Year,11/25/2024,11/24/2027,1,0,0,0,0,"United Hospital Center, Inc.",I,Bridgeport,WV,1,Bridgeport,HARRISON,WV,26330
104288,104288,Certified,SOFTWARE ENGINEER,Computer Programmers,"$64,709.00 ",Year,10/1/2024,9/30/2027,1,0,0,0,0,ULTIMUS SOLUTIONS INC,II,Sioux Falls,SD,1,SIOUX FALLS,MINNEHAHA,SD,57103
104420,104420,Certified,ASSISTANT PROFESSOR - ARTIFICIAL INTELLIGENCE,"Computer Science Teachers, Postsecondary","$58,270.00 ",Year,12/22/2024,12/21/2027,1,0,0,0,0,Dakota State University,I,Madison,SD,1,MADISON,LAKE,SD,57042
104489,104489,Certified,Postdoctoral Scientist,"Medical Scientists, Except Epidemiologists","$56,368.00 ",Year,2/3/2025,2/2/2028,1,0,0,0,0,University of New Mexico,I,Albuquerque,NM,1,Albuquerque,BERNALILLO,NM,87131
104605,104605,Certified,Assistant Professor,"Economics Teachers, Postsecondary","$76,820.00 ",Year,3/25/2025,3/24/2028,1,0,0,0,0,New Mexico State University,I,Las Cruces,NM,1,Las Cruces,DONA ANA,NM,88003
104853,104853,Certified,Research Scientist 1,Medical and Clinical Laboratory Technologists,"$38,709.00 ",Year,3/1/2025,2/29/2028,0,0,1,0,0,University of New Mexico,I,Albuquerque,NM,1,Albuquerque,BERNALILLO,NM,87106
104940,104940,Certified,SOFTWARE ENGINEER,Computer Programmers,"$64,709.00 ",Year,10/1/2024,9/30/2027,1,0,0,0,0,ULTIMUS SOLUTIONS INC,II,Sioux Falls,SD,1,SIOUX FALLS,MINNEHAHA,SD,57103
105628,105628,Certified,Medical Physicist,Physicists,"$93,226.00 ",Year,11/1/2024,10/31/2027,1,0,0,0,0,precess medical derivatives,I,Short Hills,NJ,1,Huntington,WAYNE,WV,25701
105666,105666,Certified,Assistant Professor (Otolaryngology),"Health Specialties Teachers, Postsecondary",$25.81 ,Hour,11/13/2024,11/12/2027,0,0,0,0,0,West Virginia University,I,Morgantown,WV,1,Morgantown,MONONGALIA,WV,26505
105685,105685,Certified,Public School Teacher,"Elementary School Teachers, Except Special Education","$51,990.00 ",Year,11/1/2024,10/31/2027,1,0,0,0,0,Hobbs Municipal Schools,I,Hobbs,NM,1,Hobbs,LEA,NM,88241
105744,105744,Certified,Analytics Associate IV,Data Scientists,$39.15 ,Hour,3/20/2025,3/19/2028,0,0,1,0,0,Presbyterian Healthcare Services,III,Albuquerque,NM,1,Albuquerque,BERNALILLO,NM,87113
106211,106211,Certified,Clincial Dietician,Dietitians and Nutritionists,"$51,584.00 ",Year,10/21/2024,10/20/2027,1,0,0,0,0,"West Virginia University Hospitals, Inc.",I,Morgantown,WV,1,Morgantown,MONONGALIA,WV,26506
106652,106652,Certified,Sr. Process Engineer,Industrial Engineers,"$89,211.00 ",Year,9/30/2024,9/29/2027,1,0,0,0,0,"Saraca Solutions, Inc.",III,Westborough,MA,1,Weirton,BROOKE,WV,26062
106793,106793,Certified,Software Developer,Software Developers,"$90,085.00 ",Year,9/24/2024,9/23/2027,0,0,0,0,0,COMPETITIVE COMPUTER INFORMATION TECHNOLOGIES INC,II,Northville,MI,1,Santa Fe,SANTA FE,NM,87501
107259,107259,Certified - Withdrawn,"Assistant Professor, Clinician Track, Radiology","Health Specialties Teachers, Postsecondary","$50,700.00 ",Year,8/26/2024,8/25/2027,1,0,0,0,0,West Virginia University,I,Morgantown,WV,1,Morgantown,MONONGALIA,WV,26506
107381,107381,Certified - Withdrawn,Quality & Metallurgy Director,Architectural and Engineering Managers,"$161,179.00 ",Year,4/11/2022,4/10/2025,0,0,0,0,0,"Constellium Rolled Products Ravenswood, LLC",III,Ravenswood,WV,1,Ravenswood ,JACKSON,WV,26164
